"","Sub","CellType","Prop"
"149","24","cardiomyocytes",0.871706303692889
"150","25","cardiomyocytes",0.804851632347225
"151","26","cardiomyocytes",0.796217739534237
"152","27","cardiomyocytes",0.863741355144555
"153","28","cardiomyocytes",0.844750107412618
"154","29","cardiomyocytes",0.813241521974208
"155","3","cardiomyocytes",0.869303114013442
"156","30","cardiomyocytes",0.838387365883099
"157","31","cardiomyocytes",0.771896148834477
"158","32","cardiomyocytes",0.826564554992189
"159","33","cardiomyocytes",0.821133656879448
"160","34","cardiomyocytes",0.854090462479347
"161","35","cardiomyocytes",0.847291579663129
"162","36","cardiomyocytes",0.838249503982721
"163","37","cardiomyocytes",0.823847806637251
"164","38","cardiomyocytes",0.823513456572922
"165","39","cardiomyocytes",0.767692270598029
"166","4","cardiomyocytes",0.693407291177596
"167","40","cardiomyocytes",0.821584927254634
"168","41","cardiomyocytes",0.858507906572692
"169","42","cardiomyocytes",0.773198199320619
"170","43","cardiomyocytes",0.806078145795774
"171","44","cardiomyocytes",0.840659384039821
"172","5","cardiomyocytes",0.864667798257979
"173","6","cardiomyocytes",0.745536532379499
"174","7","cardiomyocytes",0.863682797697144
"175","8","cardiomyocytes",0.834344644386019
"176","9","cardiomyocytes",0.854073427517655
"177","1","`B cells`",0
"178","10","`B cells`",0
"179","11","`B cells`",0
"180","12","`B cells`",0
"181","13","`B cells`",0
"182","14","`B cells`",0
"183","15","`B cells`",0
"184","16","`B cells`",0
"185","17","`B cells`",0
"186","18","`B cells`",0
"187","19","`B cells`",0
"188","2","`B cells`",0
"189","20","`B cells`",0
"190","21","`B cells`",0
"191","22","`B cells`",0
"192","23","`B cells`",0
"193","24","`B cells`",0
"194","25","`B cells`",0
"195","26","`B cells`",0
"196","27","`B cells`",0
"197","28","`B cells`",0
"198","29","`B cells`",0
"199","3","`B cells`",0
"200","30","`B cells`",0
"201","31","`B cells`",0
"202","32","`B cells`",0
"203","33","`B cells`",0
"204","34","`B cells`",0
"205","35","`B cells`",0
"206","36","`B cells`",0
"207","37","`B cells`",0
"208","38","`B cells`",0
"209","39","`B cells`",0
"210","4","`B cells`",0
"211","40","`B cells`",0
"212","41","`B cells`",0
"213","42","`B cells`",0
"214","43","`B cells`",0
"215","44","`B cells`",0
"216","5","`B cells`",0
"217","6","`B cells`",0
"218","7","`B cells`",0
"219","8","`B cells`",0
"220","9","`B cells`",0
